DateKey,ProductKey,CustomerKey,RegionKey,Quantity,Net Price,SalesAmount
1,2492,18813,1,1,23.7405,23.7405
1,1763,4751,2,1,94.7625,94.7625
1,1763,4760,3,1,94.7625,94.7625
1,1763,4764,4,1,94.7625,94.7625
1,1763,4773,5,1,94.7625,94.7625
1,1763,4774,6,1,94.7625,94.7625
1,1763,4775,7,1,94.7625,94.7625
1,1763,4776,8,1,94.7625,94.7625
1,1763,4777,9,1,94.7625,94.7625
1,1763,4778,10,1,94.7625,94.7625
1,1763,4779,11,1,94.7625,94.7625
1,1763,4781,12,1,94.7625,94.7625
1,1763,4782,13,1,94.7625,94.7625
1,1763,4783,14,1,94.7625,94.7625
1,1763,4815,15,1,94.7625,94.7625
1,2124,17160,16,1,422.75,422.75
1,2124,17163,17,1,422.75,422.75
1,2124,17165,18,1,422.75,422.75
1,197,17599,19,1,284.905,284.905
1,197,17600,1,1,284.905,284.905
1,197,17602,20,1,284.905,284.905
1,197,17604,21,1,284.905,284.905
1,197,17605,3,1,284.905,284.905
1,197,17607,20,1,284.905,284.905
1,192,5963,22,1,569.05,569.05
1,192,5964,23,1,569.05,569.05
1,192,5966,24,1,569.05,569.05
1,192,5967,6,1,569.05,569.05
1,192,5968,25,1,569.05,569.05
1,192,5969,19,1,569.05,569.05
1,192,5971,7,1,569.05,569.05
1,1776,15265,26,1,40.85,40.85
1,1776,15266,3,1,40.85,40.85
1,1776,15267,8,1,40.85,40.85
1,1776,15269,16,1,40.85,40.85
1,1776,15272,19,1,40.85,40.85
1,1666,13528,27,1,16.0455,16.0455
1,1666,13529,28,1,16.0455,16.0455
1,1666,13530,16,1,16.0455,16.0455
1,1666,13531,29,1,16.0455,16.0455
1,1666,13999,15,1,16.0455,16.0455
1,1666,14000,24,1,16.0455,16.0455
1,1666,14155,12,1,16.0455,16.0455
1,1666,14156,30,1,16.0455,16.0455
1,1666,14162,31,1,16.0455,16.0455
1,1666,14163,32,1,16.0455,16.0455
1,1666,14170,33,1,16.0455,16.0455
1,1666,14185,28,1,16.0455,16.0455
1,1666,14186,34,1,16.0455,16.0455
1,1666,14192,23,1,16.0455,16.0455
1,1666,14966,9,1,16.0455,16.0455
1,1666,14967,19,1,16.0455,16.0455
1,1666,15058,12,1,16.0455,16.0455
1,1666,15060,33,1,16.0455,16.0455
1,1666,15061,5,1,16.0455,16.0455
1,1666,15062,35,1,16.0455,16.0455
1,1666,15066,16,1,16.0455,16.0455
1,1666,15083,36,1,16.0455,16.0455
1,1666,15084,5,1,16.0455,16.0455
1,1666,15085,37,1,16.0455,16.0455
1,1666,15090,2,1,16.0455,16.0455
1,1666,15091,2,1,16.0455,16.0455
1,1666,15092,38,1,16.0455,16.0455
1,1666,15099,26,1,16.0455,16.0455
1,1666,15107,39,1,16.0455,16.0455
1,1666,15108,9,1,16.0455,16.0455
1,1666,15109,5,1,16.0455,16.0455
1,1666,15204,40,1,16.0455,16.0455
1,1666,15539,2,1,16.0455,16.0455
1,1666,15541,28,1,16.0455,16.0455
1,1666,15594,40,1,16.0455,16.0455
1,1666,15685,16,1,16.0455,16.0455
1,1666,15691,12,1,16.0455,16.0455
1,1666,15692,12,1,16.0455,16.0455
1,1666,15699,40,1,16.0455,16.0455
1,1666,15705,41,1,16.0455,16.0455
1,1666,15706,5,1,16.0455,16.0455
1,1666,15708,41,1,16.0455,16.0455
1,1666,15709,24,1,16.0455,16.0455
1,1666,15723,42,1,16.0455,16.0455
1,1666,15724,37,1,16.0455,16.0455
1,1666,16453,35,1,16.0455,16.0455
1,1666,16460,12,1,16.0455,16.0455
1,1666,16461,24,1,16.0455,16.0455
1,1666,16528,30,1,16.0455,16.0455
1,1666,16529,39,1,16.0455,16.0455
1,1666,16530,21,1,16.0455,16.0455
1,1666,16616,43,1,16.0455,16.0455
1,1666,16620,24,1,16.0455,16.0455
1,1666,16621,28,1,16.0455,16.0455
1,1666,16622,38,1,16.0455,16.0455
1,1666,16631,24,1,16.0455,16.0455
1,1666,16632,20,1,16.0455,16.0455
1,1666,16641,30,1,16.0455,16.0455
1,1666,16642,44,1,16.0455,16.0455
1,1666,16646,45,1,16.0455,16.0455
1,1666,16647,40,1,16.0455,16.0455
1,1666,16648,5,1,16.0455,16.0455
1,1666,16662,31,1,16.0455,16.0455
1,1666,16664,27,1,16.0455,16.0455
1,1666,16665,26,1,16.0455,16.0455
1,1666,17076,1,1,16.0455,16.0455
1,1666,17077,34,1,16.0455,16.0455
1,1666,17084,2,1,16.0455,16.0455
1,1666,17085,16,1,16.0455,16.0455
1,1666,17147,23,1,16.0455,16.0455
1,1666,17236,45,1,16.0455,16.0455
1,1666,17237,46,1,16.0455,16.0455
1,1666,17238,42,1,16.0455,16.0455
1,1666,17239,22,1,16.0455,16.0455
1,1666,17243,24,1,16.0455,16.0455
1,1666,17244,36,1,16.0455,16.0455
1,1666,17245,32,1,16.0455,16.0455
1,1666,17253,9,1,16.0455,16.0455
1,1666,17254,26,1,16.0455,16.0455
1,1666,17260,38,1,16.0455,16.0455
1,1666,17268,15,1,16.0455,16.0455
1,1666,17269,30,1,16.0455,16.0455
1,1666,17288,30,1,16.0455,16.0455
1,1666,17289,30,1,16.0455,16.0455
1,1666,17290,34,1,16.0455,16.0455
1,1666,18049,16,1,16.0455,16.0455
1,1666,18128,28,1,16.0455,16.0455
1,1666,18129,17,1,16.0455,16.0455
1,1666,18130,5,1,16.0455,16.0455
1,1666,18220,24,1,16.0455,16.0455
1,1666,18221,28,1,16.0455,16.0455
1,1666,18222,20,1,16.0455,16.0455
1,1666,18229,9,1,16.0455,16.0455
1,1666,18235,46,1,16.0455,16.0455
1,1666,18236,44,1,16.0455,16.0455
1,1666,18237,44,1,16.0455,16.0455
1,1666,18239,32,1,16.0455,16.0455
1,1666,18240,32,1,16.0455,16.0455
1,1666,18244,2,1,16.0455,16.0455
1,1666,18245,24,1,16.0455,16.0455
1,1666,18246,33,1,16.0455,16.0455
1,1666,18252,41,1,16.0455,16.0455
1,1666,18253,33,1,16.0455,16.0455
1,1666,18262,5,1,16.0455,16.0455
1,1666,18275,36,1,16.0455,16.0455
1,1666,18355,47,1,16.0455,16.0455
1,1666,82,30,1,16.0455,16.0455
1,1666,83,22,1,16.0455,16.0455
1,1666,84,6,1,16.0455,16.0455
1,1666,174,48,1,16.0455,16.0455
1,1666,175,39,1,16.0455,16.0455
1,1666,178,19,1,16.0455,16.0455
1,2145,18813,1,1,123.405,123.405
1,744,18813,1,1,37.905,37.905
1,2053,18813,1,1,94.9905,94.9905
1,2365,18813,1,1,379.9905,379.9905
1,1270,18813,1,1,6.6025,6.6025
1,1497,18813,1,1,253.65,253.65
1,1452,18813,1,1,278.35,278.35
1,2206,18813,1,1,604.1905,604.1905
1,1552,18813,1,1,378.1,378.1
1,956,18813,1,1,188.1,188.1
1,755,18813,1,1,24.225,24.225
1,2382,18813,1,1,104.4905,104.4905
1,1253,18813,1,1,18.9905,18.9905
1,1230,18813,1,1,1453.5,1453.5
1,1322,18813,1,1,31.3405,31.3405
1,929,18813,1,1,32.2905,32.2905
1,1261,18813,1,1,35.1405,35.1405
1,933,18813,1,1,52.25,52.25
1,2290,18813,1,1,113.9905,113.9905
1,2345,18813,1,1,218.4905,218.4905
1,1646,18813,1,1,151.9905,151.9905
1,1010,18813,1,1,177.555,177.555
1,300,18813,1,1,208.05,208.05
1,1186,18813,1,1,817.0,817.0
1,2173,18813,1,1,154.85,154.85
1,2104,18813,1,1,244.625,244.625
1,1553,18813,1,1,254.6,254.6
1,1628,18813,1,1,13.1955,13.1955
1,1164,18813,1,1,171.0,171.0
1,949,18813,1,1,254.6,254.6
1,186,18813,1,1,85.405,85.405
1,2235,18813,1,1,96.8905,96.8905
1,1593,18813,1,1,13.1955,13.1955
1,2493,18813,1,1,23.7405,23.7405
1,572,18824,49,1,180.5,180.5
1,592,18824,49,1,474.05,474.05
1,709,18840,50,1,110.2,110.2
1,683,18840,50,1,122.55,122.55
1,683,18841,24,1,122.55,122.55
1,736,18841,24,1,112.1,112.1
1,7,19036,51,1,20.4915,20.4915
1,7,19036,51,2,20.4915,40.983
1,683,18841,24,2,122.55,245.1
1,736,18841,24,2,112.1,224.2
1,709,18840,50,2,110.2,220.4
1,572,18824,49,2,180.5,361.0
1,2145,18813,1,2,123.405,246.81
1,2124,17164,52,2,422.75,845.5
1,1270,18813,1,2,6.6025,13.205
1,1763,4750,53,2,94.7625,189.525
1,1452,18813,1,2,278.35,556.7
1,2206,18813,1,2,604.1905,1208.381
1,1552,18813,1,2,378.1,756.2
1,1253,18813,1,2,18.9905,37.981
1,1230,18813,1,2,1453.5,2907.0
1,1322,18813,1,2,31.3405,62.681
1,1261,18813,1,2,35.1405,70.281
1,933,18813,1,2,52.25,104.5
1,1776,15268,54,2,40.85,81.7
